mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
5747375-2;Male;Brass;Gold Flash;Black;Black;Thermoplastic;Through Hole;37;37;2;Vertical;0.00277;;;0.06939;0.01183;0.01255
1761028-5;Female;Phosphor Bronze;Gold Flash;;Black;Thermoplastic;Solder;100;100;2;Right Angle;0.00127;;;0.0842;0.01031;0.01687
3-643815-4;Female;Copper Alloy;Tin;Black;Blue;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
89124-0101;Female;Phosphor Bronze;Gold;;Gray;Plastic;;24;24;2;;0.00254;;;0.0351;0.0106;0.0061
487378-5;Male;;;Black;Black;Thermoplastic;;6;6;;;0.00254;;;0.01508;0.01371;0.00248
644465-2;Female;Copper Alloy;Tin Lead;Orange;Orange;Nylon;Through Hole;2;2;1;;0.0039624;;;0.007925;0.018415;0.009779
3-643814-2;Female;Copper Alloy;Tin;White;White;Nylon;;2;2;1;;0.00254;Nylon;;0.00508;0.013208;0.006985
5745182-2;Male;Brass;Gold Flash;Black;Black;Plastic;Through Hole;9;9;2;Vertical;0.002743;;;0.03081;0.010719;0.012548
17EHD044PAA000;Male;Copper;Gold;Black;Black;Nylon;Solder;44;44;3;;;;;0.05304;;0.01255
641653-8;Female;Copper Alloy;Tin Lead;Red;White;Nylon;PCB;8;8;1;;0.00254;;;0.02032;0.013208;0.007747
5747091-2;Female;Copper Alloy;Gold over Nickel;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03081;0.01216;0.01255
1-111623-8;Female;Beryllium Copper;Tin Lead;Black;Black;Plastic;Through Hole;10;10;2;;0.002;;;0.01516;0.010236;0.005156
5749069-7;Female;Phosphor Bronze;Gold Flash;;Black;Thermoplastic;PC Board;68;68;2;Vertical;0.00254;Thermoplastic;;0.06388;0.00892;0.01031
745071-2;Male;Brass;Tin over Nickel;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03089;0.01209;0.01041
1-5747150-6;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Vertical;0.00274;;;0.03089;0.00808;0.01255
5745438-1;Female;Phosphor Bronze;Gold Flash;Black;Black;Nylon;Through Hole;9;9;2;Right Angle;0.002743;;;0.03081;0.012548;0.023444
3-641237-2;;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
FWFTV21N;Female;;Nickel;Black;Natural;;Panel;6;6;;;;;;0.03096;0.03383;0.03096
5749069-2;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Solder;26;26;4;Vertical;0.00127;;;0.03721;0.00892;0.01031
1-746610-5;Male;Phosphor Bronze;Tin;Black;Black;Plastic;Board;20;20;2;Vertical;0.00254;;;0.029972;0.010058;0.007061
3-338309-2;Male;Phosphor Bronze;Tin;Black;Black;Polyester;Through Hole;9;9;2;Vertical;0.00274;Steel;;0.0309;0.0117;0.0126
6-102398-8;Female;Copper Alloy;Tin;Black;Black;Thermoplastic;Through Hole;40;40;2;;0.00254;;;0.0508;0.01524;0.006096
5205858-1;Female;Phosphor Bronze;Gold Flash;Black;Black;Thermoplastic;Through Hole;25;25;2;Right Angle;0.002769;;;0.053035;0.012548;0.026238
5-102398-2;Female;Copper Alloy;Tin;Black;Black;Thermoplastic;Through Hole;8;8;2;;0.00254;;;0.01016;0.01524;0.006096
1-640512-0;Male;;;Red;Red;Nylon;Panel;12;12;;;0.004191;Nylon;;0.019939;;0.026924
4-644540-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;12;12;1;;0.00254;;;0.03048;0.007747;0.013208
746610-3;Male;Phosphor Bronze;Tin Lead;Black;Black;Thermoplastic;Through Hole;16;16;2;Vertical;0.00254;;;0.024892;0.010058;0.007061
3-643814-7;Female;Copper Alloy;Tin;White;White;Nylon;Through Hole;7;7;1;;0.00254;;;0.01778;0.013208;0.006985
5745781-6;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Right Angle;0.002743;;;0.03081;0.012548;0.018796
5747846-6;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;25;25;2;Right Angle;0.002769;;;0.053035;0.012548;0.018796
1658620-7;Female;Phosphor Bronze;Tin;Black;Black;Plastic;Through Hole;30;30;2;Vertical;0.00254;;;0.042672;0.011786;0.006096
1-640251-0;Female;;;Natural;White;Nylon;Through Hole;10;10;1;;0.0039624;;;0.039573;0.00635;0.016764
4-643818-0;Female;Copper Alloy;Tin;Yellow;Yellow;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
5747250-6;Male;Brass;Tin;Black;Black;Thermoplastic;Through Hole;9;9;2;Right Angle;0.00274;;;0.03081;0.01255;0.01862
87977-2;Female;Beryllium Copper;;Black;Black;Nylon;Through Hole;8;8;2;;0.00254;;;0.01016;0.006096;0.01524
207304-1;Male;Copper;;Red;Red;Thermoplastic;Panel;24;24;4;;0.005;;;0.02784;0.04044;0.02715
